GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Eddie Gerard,0.35,0.476,0.353,0.413,157,1,10,"['St. Louis Eagles', 'Montreal Maroons', 'New York Americans', 'Montreal Maroons']"
Tim Murray,0.35,0.383,0.317,0.414,100,0,4,['Buffalo Sabres']
Doug MacLean,0.35,0.451,0.248,0.413,172,0,7,['Columbus Blue Jackets']
Larry Gordon,0.35,0.425,0.275,0.431,28,0,1,['Edmonton Oilers']
Milt Schmidt,0.348,0.59,0.378,0.411,241,2,7,"['Boston Bruins', 'Washington Capitals']"
Sid Abel,0.344,0.525,0.272,0.417,356,0,13,"['St. Louis Blues', 'Kansas City Scouts', 'Detroit Red Wings']"
Lynn Patrick,0.341,0.423,0.233,0.406,280,0,13,"['St. Louis Blues', 'Boston Bruins', 'St. Louis Blues']"
Jeff Gorton,0.338,0.519,0.454,0.456,225,0,7,"['New York Rangers', 'Boston Bruins']"
Charles Catto,0.338,0.41,0.263,0.416,26,0,1,['St. Louis Blues']
Kyle Davidson,0.337,0.333,0.34,0.409,35,0,2,['Chicago Blackhawks']
Jack Ferreira,0.331,0.45,0.282,0.381,226,0,8,"['San Jose Sharks', 'Minnesota North Stars', 'Anaheim Ducks']"
Frank Selke Jr.,0.331,0.434,0.229,0.413,55,0,3,['California Golden Seals']
Hap Day,0.33,0.429,0.231,0.45,69,0,3,['Toronto Maple Leafs']
Craig MacTavish,0.328,0.368,0.286,0.395,56,0,3,['Edmonton Oilers']
Frank Boucher,0.326,0.41,0.243,0.425,199,0,10,['New York Rangers']
Gord Stellick,0.324,0.392,0.259,0.357,34,0,2,['Toronto Maple Leafs']
Ted Lindsay,0.324,0.411,0.238,0.406,81,0,4,['Detroit Red Wings']
Mike Grier,0.323,0.188,0.467,0.403,10,0,1,['San Jose Sharks']
Sam McMaster,0.321,0.387,0.255,0.41,68,0,3,['Los Angeles Kings']
Bill Tobin,0.321,0.397,0.246,0.392,327,1,18,['Chicago Blackhawks']
Art Ross,0.318,0.59,0.346,0.356,725,3,31,"['Montreal Wanderers', 'Boston Bruins']"
Lionel Conacher,0.318,0.5,0.136,0.375,14,0,1,['New York Americans']
Red Dutton,0.316,0.411,0.22,0.39,106,0,7,['Brooklyn Americans']
Larry Regan,0.312,0.44,0.185,0.381,151,0,7,['Los Angeles Kings']
Gerry McNamara,0.311,0.396,0.225,0.373,164,0,7,['Toronto Maple Leafs']
Jimmy Skinner,0.31,0.407,0.135,0.385,50,0,3,"['Detroit Red Wings', 'Detroit Red Wings']"
Bill Torrey,0.307,0.554,0.377,0.367,779,4,23,"['New York Islanders', 'California Golden Seals', 'Florida Panthers']"
Jack Kelley,0.304,0.456,0.152,0.421,48,0,2,['Hartford Whalers']
Stafford Smythe,0.302,0.372,0.233,0.372,26,0,2,['Toronto Maple Leafs']
Bud Poile,0.298,0.39,0.204,0.386,108,0,6,"['Vancouver Canucks', 'Philadelphia Flyers']"
Max McNab,0.296,0.377,0.206,0.361,221,0,11,"['Washington Capitals', 'New Jersey Devils']"
Jack Gordon,0.295,0.396,0.174,0.359,129,0,6,"['Minnesota North Stars', 'Vancouver Canucks']"
Harry Howell,0.293,0.316,0.271,0.375,34,0,2,['Cleveland Barons']
Joe Simpson,0.292,0.375,0.208,0.396,42,0,3,['New York Americans']
Bill McCreary Sr.,0.289,0.398,0.178,0.365,59,0,3,['Cleveland Barons']
Randy Sexton,0.289,0.261,0.254,0.353,62,0,4,"['Ottawa Senators', 'Florida Panthers']"
Jules Dugal,0.288,0.303,0.273,0.348,19,0,2,['Montréal Canadiens']
Alex Delvecchio,0.283,0.397,0.167,0.35,65,0,3,['Detroit Red Wings']
Chuck Grillo,0.278,0.331,0.225,0.327,78,0,4,['San Jose Sharks']
Martin Madden Sr.,0.275,0.318,0.231,0.324,36,0,2,['Quebec Nordiques']
Art Duncan,0.273,0.273,0.273,0.318,12,0,1,['Detroit Cougars']
Hal Laycoe,0.271,0.375,0.167,0.333,26,0,2,['Vancouver Canucks']
Hap Emms,0.271,0.357,0.186,0.329,38,0,2,['Boston Bruins']
Maurice Filion,0.268,0.511,0.328,0.31,314,0,10,"['Quebec Nordiques', 'Quebec Nordiques']"
Red Kelly,0.262,0.413,0.111,0.377,33,0,2,['Pittsburgh Penguins']
Pat Verbeek,0.246,0.31,0.194,0.308,16,0,2,['Anaheim Ducks']
John Brophy,0.24,0.455,0.071,0.26,6,0,1,['Toronto Maple Leafs']
Dick Duff,0.24,0.455,0.071,0.26,6,0,1,['Toronto Maple Leafs']
Ray Miron,0.237,0.32,0.155,0.329,95,0,5,['Colorado Rockies']
