GM,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups,Team
Rick Dudley,0.317,0.293,0.341,0.442,52,2,0,Florida Panthers
Red Dutton,0.316,0.411,0.22,0.39,106,7,0,Brooklyn Americans
Bud Poile,0.316,0.382,0.25,0.438,56,3,0,Philadelphia Flyers
Max McNab,0.313,0.391,0.235,0.357,94,4,0,New Jersey Devils
Larry Regan,0.312,0.44,0.185,0.381,151,7,0,Los Angeles Kings
Gerry McNamara,0.311,0.396,0.225,0.373,164,7,0,Toronto Maple Leafs
Brian Burke,0.309,0.286,0.333,0.345,26,1,0,Hartford Whalers
Bill Torrey,0.306,0.351,0.257,0.41,22,2,0,Florida Panthers
Jack Kelley,0.304,0.456,0.152,0.421,48,2,0,Hartford Whalers
Stafford Smythe,0.302,0.372,0.233,0.372,26,2,0,Toronto Maple Leafs
Harry Howell,0.293,0.316,0.271,0.375,34,2,0,Cleveland Barons
Joe Simpson,0.292,0.375,0.208,0.396,42,3,0,New York Americans
Bill McCreary Sr.,0.289,0.398,0.178,0.365,59,3,0,Cleveland Barons
Jules Dugal,0.288,0.303,0.273,0.348,19,2,0,Montréal Canadiens
Chuck Fletcher,0.286,0.286,0.286,0.384,16,1,0,Florida Panthers
Rick Dudley,0.285,0.37,0.204,0.364,63,3,0,Tampa Bay Lightning
Alex Delvecchio,0.283,0.397,0.167,0.35,65,3,0,Detroit Red Wings
Bud Poile,0.28,0.398,0.161,0.333,52,3,0,Vancouver Canucks
Max McNab,0.278,0.368,0.188,0.364,127,7,0,Washington Capitals
Chuck Grillo,0.278,0.331,0.225,0.327,78,4,0,San Jose Sharks
Martin Madden Sr.,0.275,0.318,0.231,0.324,36,2,0,Quebec Nordiques
Art Duncan,0.273,0.273,0.273,0.318,12,1,0,Detroit Cougars
Hal Laycoe,0.271,0.375,0.167,0.333,26,2,0,Vancouver Canucks
Hap Emms,0.271,0.357,0.186,0.329,38,2,0,Boston Bruins
Georges Boucher,0.265,0.333,0.195,0.337,22,2,0,St. Louis Eagles
Jack Gordon,0.265,0.381,0.146,0.328,77,4,0,Minnesota North Stars
Fred Glover,0.263,0.419,0.077,0.289,15,1,0,California Golden Seals
Red Kelly,0.262,0.413,0.111,0.377,33,2,0,Pittsburgh Penguins
Jimmy Skinner,0.25,0.388,0.113,0.344,40,2,0,Detroit Red Wings
Patrik Allvin,0.25,0,0.25,0.25,1,1,0,Pittsburgh Penguins
Larry Pleau,0.247,0.321,0.173,0.324,40,3,0,Hartford Whalers
Pat Verbeek,0.246,0.31,0.194,0.308,16,2,0,Anaheim Ducks
Bob Pulford,0.24,0.289,0.189,0.36,18,1,0,Chicago Blackhawks
John Brophy,0.24,0.455,0.071,0.26,6,1,0,Toronto Maple Leafs
Dick Duff,0.24,0.455,0.071,0.26,6,1,0,Toronto Maple Leafs
Ray Miron,0.237,0.32,0.155,0.329,95,5,0,Colorado Rockies
Jacques Demers,0.237,0.293,0.179,0.287,19,1,0,Tampa Bay Lightning
Joe Will,0.231,0.4,0.125,0.385,3,1,0,San Jose Sharks
Ernest Savard,0.229,0.208,0.25,0.344,11,1,0,Montréal Canadiens
Cy Denneny,0.229,0.333,0.125,0.333,11,1,0,Ottawa Senators (1917)
Garry Young,0.225,0.281,0.167,0.333,25,3,0,California Golden Seals
Jack Ferreira,0.212,0.35,0.075,0.244,17,1,0,San Jose Sharks
Bill MacMillan,0.206,0.292,0.121,0.281,37,3,0,New Jersey Devils
Fred Glover,0.205,0.333,0.081,0.287,25,2,0,California Golden Seals
Bert Olmstead,0.203,0.324,0.081,0.318,15,1,0,Oakland Seals
Sid Abel,0.202,0.299,0.104,0.269,27,2,0,Kansas City Scouts
Randy Sexton,0.189,0.192,0.185,0.236,30,3,0,Ottawa Senators
Jeff Gorton,0.182,0.333,0.0,0.364,2,1,0,Boston Bruins
Art Ross,0.167,0.333,0.0,0.167,1,1,0,Montreal Wanderers
Mike Quinn,0.167,0.333,0.0,0.167,4,1,0,Quebec Bulldogs
Eddie Gerard,0.154,0.333,0.0,0.154,2,1,0,St. Louis Eagles
Bill Torrey,0.143,0.0,0.167,0.143,1,1,0,California Golden Seals
Mel Bridgman,0.119,0.214,0.024,0.143,10,1,0,Ottawa Senators
Frank Fredrickson,0.114,0.227,0.0,0.148,5,1,0,Pittsburgh Pirates
Maurice Filion,0.103,0.214,0.0,0.121,3,1,0,Quebec Nordiques
Milt Schmidt,0.095,0.138,0.052,0.138,11,2,0,Washington Capitals
Cooper Smeaton,0.091,0.136,0.045,0.136,4,1,0,Philadelphia Quakers
Lou Angotti,0.0,0,0.0,0.0,0,1,0,St. Louis Blues
Baz Bastien,0.0,0.0,0.0,0.096,0,1,0,Kansas City Scouts
