Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Dick Carroll,0.45,0.75,0.15,0.45,40,18,2,1,['Toronto Arenas']
Pierre Creamer,0.45,0.55,0.35,0.506,80,36,1,0,['Pittsburgh Penguins']
Bep Guidolin,0.45,0.573,0.333,0.502,104,98,4,0,"['Boston Bruins', 'Kansas City Scouts']"
Bob Berry,0.449,0.524,0.376,0.52,223,384,11,0,"['Montréal Canadiens', 'Los Angeles Kings', 'Pittsburgh Penguins', 'St. Louis Blues']"
Bill Gadsby,0.449,0.615,0.282,0.526,78,35,2,0,['Detroit Red Wings']
John Torchetti,0.448,0.545,0.349,0.485,12,30,3,0,"['Los Angeles Kings', 'Florida Panthers', 'Minnesota Wild']"
Derek Lalonde,0.448,0.467,0.429,0.552,29,13,1,0,['Detroit Red Wings']
Mario Tremblay,0.447,0.5,0.392,0.525,159,71,2,0,['Montréal Canadiens']
Bob Gainey,0.445,0.467,0.426,0.522,41,194,8,0,"['Montréal Canadiens', 'Montréal Canadiens', 'Dallas Stars']"
Dit Clapper,0.444,0.556,0.33,0.53,230,102,4,0,['Boston Bruins']
Cecil Hart,0.444,0.514,0.375,0.524,268,204,10,2,"['Montréal Canadiens', 'Montréal Canadiens', 'Montreal Maroons']"
Mike Yeo,0.443,0.481,0.404,0.497,133,263,9,0,"['St. Louis Blues', 'Minnesota Wild', 'Philadelphia Flyers']"
Larry Robinson,0.442,0.513,0.368,0.521,328,209,8,1,"['Los Angeles Kings', 'New Jersey Devils', 'New Jersey Devils']"
Denis Savard,0.442,0.493,0.389,0.497,147,65,3,0,['Chicago Blackhawks']
Joe Sacco,0.442,0.503,0.381,0.493,294,130,4,0,['Colorado Avalanche']
Alain Nasreddine,0.442,0.45,0.435,0.535,43,19,1,0,['New Jersey Devils']
Roger Neilson,0.441,0.497,0.32,0.514,160,460,17,0,"['Toronto Maple Leafs', 'New York Rangers', 'Los Angeles Kings', 'Philadelphia Flyers', 'Buffalo Sabres', 'Vancouver Canucks', 'Ottawa Senators', 'Florida Panthers']"
Brian Sutter,0.439,0.516,0.363,0.517,216,451,13,0,"['Boston Bruins', 'Chicago Blackhawks', 'St. Louis Blues', 'Calgary Flames']"
Colin Campbell,0.439,0.474,0.403,0.519,269,118,4,0,['New York Rangers']
Larry Popein,0.439,0.636,0.21,0.549,41,18,1,0,['New York Rangers']
Ted Sator,0.439,0.508,0.368,0.491,99,137,5,0,"['New York Rangers', 'Buffalo Sabres']"
