Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Jacques Demers,Montréal Canadiens,0.486,0.618,0.354,0.548,107,4,1
Murray Oliver,Minnesota North Stars,0.486,0.579,0.389,0.581,18,1,0
Dave Gill,Ottawa Senators (1917),0.485,0.545,0.424,0.587,64,3,1
Randy Carlyle,Toronto Maple Leafs,0.484,0.558,0.409,0.535,91,4,0
Dave Hakstol,Philadelphia Flyers,0.484,0.547,0.421,0.56,134,4,0
Doug Weight,New York Islanders,0.484,0.508,0.46,0.541,59,2,0
Bob Pulford,Chicago Blackhawks,0.483,0.5,0.464,0.534,28,1,0
Marc Crawford,Dallas Stars,0.482,0.549,0.415,0.558,79,2,0
Bob Johnson,Calgary Flames,0.482,0.57,0.395,0.547,193,5,0
Dick Irvin,Montréal Canadiens,0.481,0.612,0.35,0.566,431,15,3
Dave Lowry,Winnipeg Jets,0.481,0.538,0.429,0.537,26,1,0
Brent Sutter,Calgary Flames,0.48,0.537,0.423,0.557,118,3,0
Cory Clouston,Ottawa Senators,0.48,0.53,0.429,0.53,95,3,0
Punch Imlach,Toronto Maple Leafs,0.48,0.595,0.366,0.562,365,11,4
Tom Webster,Los Angeles Kings,0.479,0.558,0.4,0.544,115,3,0
Brian Sutter,St. Louis Blues,0.478,0.569,0.388,0.545,153,4,0
Mike Keenan,Chicago Blackhawks,0.478,0.575,0.381,0.542,153,4,0
Bill Tobin,Chicago Blackhawks,0.478,0.545,0.417,0.522,11,1,0
Paul MacLean,Ottawa Senators,0.477,0.5,0.455,0.55,114,4,0
Herb Brooks,New Jersey Devils,0.476,0.571,0.381,0.518,40,1,0
Tom Shaughnessy,Chicago Blackhawks,0.476,0.545,0.4,0.548,10,1,0
Paul Maurice,Florida Panthers,0.476,0.545,0.4,0.548,10,1,0
Hap Day,Toronto Maple Leafs,0.474,0.582,0.366,0.548,259,10,5
Pat Burns,Toronto Maple Leafs,0.473,0.554,0.394,0.546,133,4,0
Larry Pleau,Hartford Whalers,0.472,0.566,0.377,0.495,50,2,0
Gene Ubriaco,Pittsburgh Penguins,0.472,0.574,0.365,0.514,50,2,0
