Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
John Muckler,Buffalo Sabres,0.407,0.5,0.333,0.407,11,4,0
Rosie Helmer,New York Americans,0.4,1.0,,0.4,2,1,0
Bryan Murray,Detroit Red Wings,0.4,0.462,0.333,0.4,10,3,0
Dave King,Calgary Flames,0.4,0.273,0.556,0.4,8,3,0
Don Perry,Los Angeles Kings,0.4,0.25,0.5,0.4,4,1,0
Harry Sinden,Boston Bruins,0.4,0.333,0.5,0.4,4,1,0
Harry Sinden,Boston Bruins,0.4,0.5,0.333,0.4,2,1,0
Lorne Henning,Minnesota North Stars,0.4,0.333,0.5,0.4,2,1,0
Eddie Johnston,Pittsburgh Penguins,0.4,0.75,0.167,0.4,4,2,0
Alain Vigneault,Montréal Canadiens,0.4,0.4,0.4,0.4,4,1,0
Mike Babcock,Toronto Maple Leafs,0.4,0.444,0.364,0.4,8,3,0
Andrew Brunette,Florida Panthers,0.4,0.4,0.4,0.4,4,1,0
Mike Yeo,Minnesota Wild,0.393,0.615,0.2,0.393,11,3,0
Red Kelly,Los Angeles Kings,0.389,0.556,0.222,0.389,7,2,0
Marc Crawford,Vancouver Canucks,0.387,0.294,0.5,0.387,12,4,0
Rick Ley,Hartford Whalers,0.385,0.5,0.286,0.385,5,2,0
Jim Schoenfeld,Phoenix Coyotes,0.385,0.286,0.5,0.385,5,2,0
John Paddock,Winnipeg Jets (1979),0.385,0.5,0.286,0.385,5,2,0
Mike Keenan,Calgary Flames,0.385,0.667,0.143,0.385,5,2,0
Barry Trotz,Nashville Predators,0.38,0.462,0.292,0.38,19,7,0
Jacques Lemaire,Minnesota Wild,0.379,0.308,0.438,0.379,11,3,0
Dave Lewis,Detroit Red Wings,0.375,0.5,0.25,0.375,6,2,0
Marcel Pronovost,Buffalo Sabres,0.375,0.75,,0.375,3,1,0
Dave Gill,Ottawa Senators (1917),0.375,0.25,0.5,0.562,3,2,1
Cecil Hart,Montréal Canadiens,0.375,0.6,,0.375,3,2,0
Al Arbour,New York Islanders,0.37,0.583,0.2,0.37,10,3,0
Paul Thompson,Chicago Blackhawks,0.368,0.444,0.3,0.368,7,4,0
Red Kelly,Toronto Maple Leafs,0.367,0.429,0.312,0.367,11,4,0
Rick Ley,Vancouver Canucks,0.364,0.2,0.5,0.364,4,1,0
Claude Julien,Montréal Canadiens,0.364,0.4,0.333,0.364,4,1,0
Ron Wilson,Anaheim Ducks,0.364,0.5,0.2,0.364,4,1,0
Red Dutton,New York Americans,0.364,0.4,0.333,0.364,4,3,0
Al Arbour,St. Louis Blues,0.364,0.6,0.167,0.364,4,1,0
Red Berenson,St. Louis Blues,0.357,0.571,0.143,0.357,5,2,0
Ron Low,Edmonton Oilers,0.357,0.25,0.438,0.357,10,3,0
Dean Evason,Minnesota Wild,0.353,0.25,0.444,0.353,6,3,0
Todd Reirden,Washington Capitals,0.333,0.5,0.143,0.367,5,2,0
Bob Gainey,Montréal Canadiens,0.333,,0.667,0.333,2,1,0
Dave Hakstol,Philadelphia Flyers,0.333,0.167,0.5,0.333,4,2,0
Joe Crozier,Buffalo Sabres,0.333,0.333,0.333,0.333,2,1,0
Pat Quinn,Vancouver Canucks,0.333,0.333,0.333,0.333,2,1,0
Dan Maloney,Winnipeg Jets (1979),0.333,0.429,0.25,0.333,5,2,0
Bruce Cassidy,Washington Capitals,0.333,,0.667,0.333,2,1,0
Nick Beverley,Toronto Maple Leafs,0.333,0.667,,0.333,2,1,0
Peter Laviolette,New York Islanders,0.333,0.6,0.143,0.333,4,2,0
Pierre Page,Minnesota North Stars,0.333,0.6,0.143,0.333,4,2,0
Leo Boivin,St. Louis Blues,0.333,1.0,,0.333,1,1,0
Pierre Page,Quebec Nordiques,0.333,0.667,,0.333,2,1,0
Charlie Burns,Minnesota North Stars,0.333,0.667,,0.333,2,1,0
Rick Dudley,Buffalo Sabres,0.333,0.5,0.167,0.333,4,2,0
Robbie Ftorek,Boston Bruins,0.333,0.333,0.333,0.333,2,1,0
Frank Patrick,Boston Bruins,0.333,0.667,,0.333,2,2,0
John Cunniff,New Jersey Devils,0.333,0.333,0.333,0.333,2,1,0
Gerard Gallant,Florida Panthers,0.333,0.333,0.333,0.333,2,1,0
Jules Dugal,Montréal Canadiens,0.333,1.0,,0.333,1,1,0
Phil Esposito,New York Rangers,0.333,0.333,0.333,0.333,2,1,0
Terry Crisp,Tampa Bay Lightning,0.333,0.333,0.333,0.333,2,1,0
Terry Murray,Los Angeles Kings,0.333,0.167,0.5,0.333,4,2,0
Jim Playfair,Calgary Flames,0.333,0.667,,0.333,2,1,0
Brent Sutter,New Jersey Devils,0.333,0.286,0.4,0.333,4,2,0
Ken Schinkel,Pittsburgh Penguins,0.333,0.333,0.333,0.333,2,2,0
Terry Simpson,Winnipeg Jets (1979),0.333,0.333,0.333,0.333,2,1,0
John Torchetti,Minnesota Wild,0.333,0.333,0.333,0.333,2,1,0
Cory Clouston,Ottawa Senators,0.333,,0.667,0.333,2,1,0
Doug Harvey,New York Rangers,0.333,1.0,,0.333,2,1,0
Todd Richards,Columbus Blue Jackets,0.333,0.333,0.333,0.333,2,1,0
Joe Sacco,Colorado Avalanche,0.333,0.333,0.333,0.333,2,1,0
Kevin Constantine,New Jersey Devils,0.333,0.667,,0.333,2,1,0
Billy Inglis,Buffalo Sabres,0.333,,1.0,0.333,1,1,0
Jean-Guy Talbot,New York Rangers,0.333,1.0,,0.333,1,1,0
Willie Desjardins,Vancouver Canucks,0.333,0.667,,0.333,2,1,0
Johnny Wilson,Pittsburgh Penguins,0.333,0.2,0.429,0.333,4,2,0
Dave Cameron,Ottawa Senators,0.333,0.333,0.333,0.333,2,1,0
Lynn Patrick,Boston Bruins,0.321,0.385,0.267,0.339,9,4,0
Dit Clapper,Boston Bruins,0.32,0.417,0.231,0.32,8,4,0
Brian Sutter,Boston Bruins,0.318,0.167,0.5,0.318,7,3,0
Robbie Ftorek,Los Angeles Kings,0.312,0.5,0.125,0.312,5,2,0
Joel Quenneville,Florida Panthers,0.3,0.4,0.2,0.3,3,2,0
Barry Long,Winnipeg Jets (1979),0.273,0.4,0.167,0.273,3,2,0
Keith Allen,Philadelphia Flyers,0.273,0.333,0.2,0.273,3,2,0
Peter Laviolette,Washington Capitals,0.273,0.333,0.2,0.273,3,2,0
John McLellan,Toronto Maple Leafs,0.273,0.2,0.333,0.273,3,2,0
Ted Sator,Buffalo Sabres,0.273,0.4,0.167,0.273,3,2,0
Fred Glover,Oakland Seals,0.273,0.333,0.2,0.273,3,2,0
Mario Tremblay,Montréal Canadiens,0.273,0.2,0.333,0.273,3,2,0
Bill Barber,Philadelphia Flyers,0.273,0.333,0.2,0.273,3,2,0
Clem Loughlin,Chicago Blackhawks,0.25,0.5,,0.375,1,2,0
Jerry LaFlamme,Montreal Maroons,0.25,,0.5,0.25,1,1,0
Bob Berry,Montréal Canadiens,0.25,0.2,0.333,0.25,2,2,0
Harry Neale,Vancouver Canucks,0.25,0.5,,0.25,1,1,0
Odie Cleghorn,Pittsburgh Pirates,0.25,,0.333,0.375,1,2,0
Sprague Cleghorn,Montreal Maroons,0.25,0.5,,0.5,1,1,0
Barclay Plager,St. Louis Blues,0.25,,0.5,0.25,1,1,0
Phil Watson,New York Rangers,0.25,0.333,0.2,0.25,4,3,0
John Hynes,Nashville Predators,0.214,0.429,,0.214,3,3,0
John Hynes,New Jersey Devils,0.2,0.5,,0.2,1,1,0
Mike Murphy,Los Angeles Kings,0.2,,0.333,0.2,1,1,0
Mike O'Connell,Boston Bruins,0.2,0.5,,0.2,1,1,0
Brian Sutter,Chicago Blackhawks,0.2,,0.333,0.2,1,1,0
Bob Berry,Los Angeles Kings,0.2,0.2,0.2,0.2,2,3,0
Bob Murdoch,Chicago Blackhawks,0.2,0.5,,0.2,1,1,0
Harry Neale,Vancouver Canucks,0.2,0.25,0.167,0.2,2,3,0
Doug Carpenter,Toronto Maple Leafs,0.2,0.5,,0.2,1,1,0
